MAGAZZINO 2018;;;;;;;
PRODOTTO;Data Ultimo arrivo;tot. Ordi ni;FORNITORE;UNITA MISURA;GIACENZA;COSTO  unit.;VALORE
Capsula Pfaff;;;;numero;22;? 5,50;? 121,00
Spoline Siruba;;;;numero;39;? 0,40;? 15,60
Spoline Pfaff;;;;numero;6;? 0,50;? 3,00
Cacciavite Piedino ;;;;numero;18;? 1,10;? 19,80
Cacciavite Ago ;;;;numero;61;? 0,90;? 54,90
Piedino  Mezzodestro;;;;numero;28;? 2,85;? 79,80
Piedino Standard;;;;numero;8;? 3,40;? 27,20
Piedino Compensatore;;;;numero;23;? 3,00;? 69,00
Porta Immondizia ;;;Manutan;numero;21;? 17,00;? 357,00
Ricambi sedia Bianchi;;;Armet;numero;100;? 10,00;? 1.000,00
Ricambi sedia grigi;;;Armet;numero;8;? 10,00;? 80,00
;;;;;;;? 18.003,12
