MAGAZZINO 2020,,,,,
PRODOTTO,FORNITORE,UNITA MISURA,GIACENZA,COSTO  unit.,VALORE
Righelli metallici,Ati,numero,"73,00","€2,50 ","€ 182,50"
Rocche fili nero,Cucirini,numero,"25,00","€2,00 ","€ 50,00"
Rocche filo bianco,Cucirini,numero,"0,00","€2,00 ","€ 0,00"
"Rotoli Cartone plotter rotoli da 10,6 kg",Bossotti,mt,"157,80","€2,40 ","€ 378,72"
Rotoli Cartone modelli,Bossotti,mt,"60,00","€2,40 ","€ 144,00"
Sapone lavamani per dispenser,cartemani,dosi,3,"€ 6,00","€ 18,00"
Scalimetri,Fara Design,numero,"493,00","€0,66 ","€ 325,38"
Scotch da Pacchi Avana,Lyreco,numero,"13,00","€2,85 ","€ 37,05"
Scotch in Carta,Lyreco,numero,"3,00","€1,72 ","€ 5,16"
Scotch magic,Lyreco,numero,"9,00","€2,90 ","€ 26,10"
Scotch rotolo grande,Lyreco,numero,"0,00","€1,72 ","€ 0,00"
Separatori alfabetici,Lyreco,numero,"5,00","€5,00 ","€ 25,00"
Separatori numerici,Lyreco,numero,"9,00","€3,00 ","€ 27,00"
Separatori Neuri,Lyreco,numero,"0,00","€2,00 ","€ 0,00"
Silesia bianca,Rota,mt,"80,00","€2,69 ","€ 215,20"
Silesia nera,Rota,mt,"75,00","€3,30 ","€ 247,50"
Spago,,rotoli,"6,00","€2,87 ","€ 17,22"
spilli 250gr,ATI,scatole,"7,00","€7,00 ","€ 49,00"
Squadrette,Tigulio,numero,"394,00","€3,00 ","€ 1.182,00"
Strisce forate,,numero,"1,00","€1,96 ","€ 1,96"
Tela 140 panna greggio,,mt,7,"€ 1,97","€ 13,79"
Tela leggera adesivizzata, ,mt,"195,00","€7,00 ","€ 1.365,00"
Tela Pesante ,Rota,mt,"300,00","€2,69 ","€ 807,00"
Tela Orchidea/greggia,Rota,mt,"150,00","€2,21 ","€ 331,50"
Termoadesivo 150 art 50/DP,,mt,100,"€ 1,43","€ 143,00"
tessuto lana double  rosa(3),,mt,"4,00","€8,50 ","€ 34,00"
tessuto lana(2),,mt,"17,00","€5,00 ","€ 85,00"
Tessuto per smoking,Cacioppoli,mt,"12,00","€47,00 ","€ 564,00"
Tropical tasche,,mt,22,"€ 2,97","€ 65,34"
Tubi porta diplomi,Ratioform,numero,"180,00","€1,36 ","€ 244,80"
Melton ,,mt,0,"€ 5,00","€ 0,00"
Tappo forever ferri stiro,,numero,1,"€ 12,00","€ 12,00"
Guarnizioni tappi forever,,numero,8,"€ 1,36","€ 10,88"
Capsula Siruba ,,numero,48,"€ 2,20","€ 105,60"
Capsula Pfaff,,numero,24,"€ 5,50","€ 132,00"
Spoline Siruba,,numero,43,"€ 0,40","€ 17,20"
Spoline Pfaff,,numero,30,"€ 0,50","€ 15,00"
Cacciavite Piedino ,,numero,53,"€ 1,10","€ 58,30"
Cacciavite Ago ,,numero,51,"€ 0,90","€ 45,90"
Piedino  Mezzodestro,,numero,42,"€ 2,85","€ 119,70"
Piedino Standard,,numero,30,"€ 3,40","€ 102,00"
Piedino Cerniera invisibile,,,20,"€ 3,40","€ 68,00"
Piedino Compensatore,,numero,44,"€ 3,00","€ 132,00"
Porta Immondizia ,Manutan,numero,21,"€ 17,00","€ 357,00"
Ricambi sedia Bianchi,Armet,numero,97,"€ 10,00","€ 970,00"
Ricambi sedia grigi,Armet,numero,0,"€ 10,00","€ 0,00"
,,,,,"€ 16.456,12"
